,,group,group_method,group_gamification,project,lines,ncloc,comment_lines,classes,complexity,violations,blocker_violations,major_violations,minor_violations,info_violations,vulnerabilities,bugs,code_smells,duplicated_blocks,duplicated_lines,duplicated_lines_density,sqale_rating,sqale_index,sqale_debt_ratio,effort_to_reach_maintainability_rating_a,tests,test_success_density,coverage,line_coverage,branch_coverage,overall_branch_coverage,conditions_to_cover,overall_conditions_to_cover,comment_density,smells_density,code_to_test
71,23,2019-2020,gamification,live ranking,2019-2020-tds-e2:p3,939,424,284,4,115,16,1,8,5,0,0,2,14,0,0,0,1,68,0.5,0,155,100,100,100,100,100,170,170,0.401129943502825,0.0330188679245283,0.365566037735849
72,24,2019-2020,gamification,live ranking,2019-2020-tds-e20:p3,549,312,95,3,86,50,0,23,26,0,0,0,50,0,0,0,1,164,1.8,0,97,100,100,100,100,100,112,112,0.233415233415233,0.16025641025641,0.310897435897436
73,25,2019-2020,gamification,live ranking,2019-2020-tds-e21:p3,817,489,128,3,129,49,0,17,28,0,0,2,47,0,0,0,1,242,1.6,0,82,100,98,100,95.4,95.4,196,196,0.207455429497569,0.0961145194274029,0.167689161554192
74,26,2019-2020,gamification,live ranking,2019-2020-tds-e22:p3,770,393,208,4,91,7,2,4,0,0,0,2,5,0,0,0,1,55,0.5,0,133,100,100,100,100,100,138,138,0.346089850249584,0.0127226463104326,0.338422391857506
75,27,2019-2020,gamification,live ranking,2019-2020-tds-e3:p3,736,422,151,3,117,1,0,1,0,0,0,0,1,0,0,0,1,6,0,0,121,100,100,100,100,100,176,176,0.263525305410122,0.0023696682464455,0.286729857819905
76,28,2019-2020,gamification,live ranking,2019-2020-tds-e4:p3,617,365,121,3,97,10,2,3,5,0,0,2,8,0,0,0,1,62,0.6,0,148,100,99.7,100,99.3,99.3,144,144,0.248971193415638,0.0219178082191781,0.405479452054795
77,29,2019-2020,gamification,live ranking,2019-2020-tds-e5:p3,654,439,83,3,125,25,0,21,4,0,0,0,25,0,0,0,1,146,1.1,0,83,100,100,100,100,100,188,188,0.159003831417625,0.0569476082004556,0.189066059225513
78,30,2019-2020,gamification,live ranking,2019-2020-tds-e6:p3,827,544,148,3,116,32,0,22,8,0,0,1,31,0,0,0,1,119,0.7,0,172,100,99.3,100,98.3,98.3,172,172,0.213872832369942,0.0569852941176471,0.316176470588235
79,31,2019-2020,gamification,live ranking,2019-2020-tds-e8:p3,854,446,183,4,114,31,0,15,15,0,0,0,31,0,0,0,1,94,0.7,0,251,100,100,100,100,100,156,156,0.29093799682035,0.0695067264573991,0.562780269058296
80,32,2019-2020,gamification,live ranking,2019-2020-tds-e9:p3,681,355,172,4,89,3,0,2,0,0,0,0,3,0,0,0,1,36,0.3,0,102,100,100,100,100,100,130,130,0.326375711574953,0.00845070422535211,0.287323943661972
